stationunitid,name,fk_stationid
1,E01,110
2,R01,110
3,WT01,110
4,E02,75
5,BR02,75
6,E03,100
7,BR03,100
8,TR03,100
9,E05,19
10,T05,19
11,C1,19
12,E06,98
13,E104,98
14,RHB104,98
15,E17,73
16,E173,73
17,BR171,73
18,HB177,73
19,WT17,73
20,E19,66
21,E194,66
22,E196,66
23,BR192,66
24,WT19,66
25,E60,43
26,LB60,43
27,SQT61,12
28,CAR61,12
29,SQT62,86
30,MED62,86
31,LB62,86
32,E62,86
33,E362,86
34,V362,86
35,V62,86
36,E64,15
37,HB64,15
38,E65,76
39,WT65A,76
40,WT65B,76
41,E66,68
42,HS66,68
43,E67,79
44,T67,79
45,CAR67,79
46,C5,79
47,E68,117
48,E368,25
49,HB368,25
50,WT368,25
51,V368,25
52,E33,38
53,RHB33,38
54,E333,38
55,V333,38
56,E35,96
57,MED35,96
58,WT35A,96
59,WT35B,96
60,E50,1
61,CAR50,1
62,RHB350,1
63,V350,1
64,HR51,20
65,T51,20
66,E51,20
67,USAR51,20
68,E53,9
69,MED53,9
70,HM53,9
71,C7,9
72,E69,78
73,HB69,78
74,SQT34,65
75,HM34,65
76,CAR34,65
77,WT34A,65
78,WT34B,65
79,C6,65
80,E52,41
81,LB52,41
82,MED52R,41
83,MCC,41
84,MED52,41
85,CAR56,5
86,E56,5
87,T56,5
88,E57,103
89,HB57,103
90,HB58,54
91,E58,54
92,E59,89
93,WR59,89
94,BOAT59,89
95,"ZODIAC 59",89
96,E421,45
97,E422,45
98,MED4,45
99,T4,45
100,BR418,45
101,HB4,45
102,WT4,45
103,BOAT4,45
104,C4,45
105,C400,45
106,C401,45
107,E427,45
108,BR417,45
109,HB7,45
110,E813,37
111,E814,37
112,R8,37
113,BR816,37
114,HB8,37
115,WT8,37
116,CAS8,37
117,E13,50
118,BE16,50
119,R13,50
120,BR13,50
121,BR14,50
122,WT13,50
123,WT14,50
124,E14,53
125,E15,55
126,E1171,3
127,E1172,3
128,E1173,3
129,R11,3
130,BR11,3
131,BR1122,3
132,WT11,3
133,BOAT11,3
148,E423,45
149,E61,12
150,RHB333,38
151,WT7,45
152,C64,86
153,C13,50
154,E815,37
155,C410,45
156,E350,1
157,C11,3
182,E10,99
183,WT10,99
184,BR10,99
185,E20,99
186,E8,108
187,BT8,108
188,E28,108
189,E13,102
190,WT13,102
191,BR13,102
192,E6,57
193,BR6,57
194,E14,27
195,E16,118
196,RH16,118
197,RHGRP16,118
198,E36,118
199,E9,93
200,E29,93
201,T15,26
202,B3,26
203,T4,88
204,B2,88
205,HR4,88
206,E12,77
207,BR12,77
208,WT12,77
210,RH2,34
211,RHGRP2,34
212,E5,107
213,HSQ5,107
214,E3,30
215,R3,30
216,R23,30
217,E23,30
218,E7,31
219,RH7,31
220,RHGRP7,31
221,S7,31
222,SQ7,31
223,E11,49
224,WT11,49
225,BR11,49
226,S17,81
227,SQ17,81
228,E1,112
229,T21,112
230,C1,112
231,BR140,35
232,E140,35
233,E141,35
234,E142,35
235,R140,35
236,WT140,35
237,WT141,35
238,S140,35
239,SQ140,35
240,E148,114
241,BR148,114
242,WT148,114
243,E149,70
244,R149,70
245,BR149,70
246,BC6,115
247,BR61,115
248,E61,115
249,E63,115
252,R62,115
253,SQT62,115
254,WT61,115
255,WT62,115
256,E65,6
257,R65,6
258,E129,64
259,E125,64
260,E123,44
261,WT126,44
262,WT124,64
263,R121,64
264,BR122,64
265,AT129,64
267,E110,21
268,E111,21
269,R110,21
270,R111,21
271,WT110,21
272,WT111,21
273,BR110,21
274,BC11,21
275,E115,17
276,R115,17
277,WT115,17
283,S251,61
284,SQ251,61
285,R251,61
287,E254,61
288,WT251,61
289,BR251,61
290,SQ252,40
291,S252,40
292,E252,40
293,WT252,40
294,S253,7
295,SQ253,7
296,E253,61
297,E81,23
298,R81,23
301,E82,83
302,SQ82,83
303,S82,83
304,WT82,83
305,E71,22
306,E72,22
308,R71,22
309,R74,22
310,WT71,22
311,BR71,22
312,BT71,22
313,E75,62
314,R75,62
315,WT75,62
316,BR75,62
317,E76,119
318,WT76,119
319,E210,39
322,E212,13
323,BR2212,13
324,BT212,13
325,E214,106
326,DR214,106
327,B1,106
328,HR140,35
329,3801,23
331,2501,61
332,1409,35
333,D1BC,34
334,1402,35
335,BC2,88
336,E2,34
337,2502,61
338,3802,83
339,E74,22
340,BC3,26
341,3809,83
342,2509,61
343,2504,61
345,E251,7
346,BR210,39
348,MED05,100
349,M81,23
350,M82,83
351,HR13,50
352,MED11,3
353,E92,86
354,T8,108
355,HR5,108
356,MED70,121
357,SQD350,1
358,WR8,108
359,BR21,123
360,E21,123
361,MED21,123
362,MN21,123
363,R21,123
364,T21,123
365,E212,123
366,MED212,123
367,BOAT20,122
368,BR20,122
369,C20,122
370,E20,122
371,MED20,122
372,R20,122
373,T20,122
374,TRK20,122
375,WR20,122
376,E202,122
377,MED202,122
379,E30,124
380,E31,124
381,BR37,124
382,R3,124
383,T32,124
384,E35,124
385,E36,124
